description,price,image_urls,images
White Diamond Aqua Drop Earring Necklace Set,2450.00,https://img.faballey.com/Images/Product/ZNS00013/1.jpg,"[{'url': 'https://img.faballey.com/Images/Product/ZNS00013/1.jpg', 'path': 'full/aacb5940a72ce89bf370eddecfd53916f7fc74d6.jpg', 'checksum': 'fbe6e6a8becbab315f8fc9e248da3ecf', 'status': 'downloaded'}]"
Blue Bead Kundan Earring Necklace Set,1750.00,https://img.faballey.com/Images/Product/ZNS00050/1.jpg,"[{'url': 'https://img.faballey.com/Images/Product/ZNS00050/1.jpg', 'path': 'full/3edd739fb6d7317f89fd5ed98fc08546384cde48.jpg', 'checksum': '8ebab1e90a63ab2a9b0f4074e0dcbae5', 'status': 'downloaded'}]"
Gold Textured Contemporary Choker Necklace Set,1100.00,https://img.faballey.com/Images/Product/ZNS00070/1.jpg,"[{'url': 'https://img.faballey.com/Images/Product/ZNS00070/1.jpg', 'path': 'full/c1a3af3d99e55ea45de7927bad8696829215e314.jpg', 'checksum': '844ea4d6091c6a07e04a686ebc8f364b', 'status': 'downloaded'}]"
Gold Kundan Green Bead String Earring Necklace Set,2000.00,https://img.faballey.com/Images/Product/ZNS00049/1.jpg,"[{'url': 'https://img.faballey.com/Images/Product/ZNS00049/1.jpg', 'path': 'full/5c3e4e26b18041e5dea398542f07eff8c32b1e81.jpg', 'checksum': '46b088910d2d9cc914b82e5bb01c6eac', 'status': 'downloaded'}]"
Gold Red Kundan Bead Earring Necklace Set,1600.00,https://img.faballey.com/Images/Product/ZNS00003/1.jpg,"[{'url': 'https://img.faballey.com/Images/Product/ZNS00003/1.jpg', 'path': 'full/1f57c115ef3efad77cbee0e97451743269a4f8d9.jpg', 'checksum': '920cafdaafabe93376d6dfd1ce46ac13', 'status': 'downloaded'}]"
Gold Kundan Multi Pearl String Earring Necklace Set,2000.00,https://img.faballey.com/Images/Product/ZNS00048/1.jpg,"[{'url': 'https://img.faballey.com/Images/Product/ZNS00048/1.jpg', 'path': 'full/6f6ef717f5178f2c3b909898a047155398eef311.jpg', 'checksum': '55ed6ed086e2e36ff48bd4334a2ae9c3', 'status': 'downloaded'}]"
Gold Kundan Aqua Stone Floral Pendant Necklace Set,1475.00,https://img.faballey.com/Images/Product/ZNS00062/1.jpg,"[{'url': 'https://img.faballey.com/Images/Product/ZNS00062/1.jpg', 'path': 'full/474de966569768d9d0c7d32b3a2953fa40a4671b.jpg', 'checksum': '4082c7da887263e21d39e148f7481c4f', 'status': 'downloaded'}]"
Gold Kundan Multicolor Stone Earring Necklace Set,2000.00,https://img.faballey.com/Images/Product/ZNS00053/1.jpg,"[{'url': 'https://img.faballey.com/Images/Product/ZNS00053/1.jpg', 'path': 'full/3a4ed2d6bf2831c648c4c684b5b9db4d7a4f1130.jpg', 'checksum': 'ed00dce18cf70ffc63c504ba4f3108a9', 'status': 'downloaded'}]"
Dual Gold Kundan Pearl Earring Necklace Set,2000.00,https://img.faballey.com/Images/Product/ZNS00056/1.jpg,"[{'url': 'https://img.faballey.com/Images/Product/ZNS00056/1.jpg', 'path': 'full/d38e3733f3272bacb18e20e5c57c4702df3e6d01.jpg', 'checksum': '189ce28eea6573c8f706d86c43c7ae74', 'status': 'downloaded'}]"
Gold Kundan Pear Dainty Drop Earrings  Necklace Set,1750.00,https://img.faballey.com/Images/Product/ZNS00046/1.jpg,"[{'url': 'https://img.faballey.com/Images/Product/ZNS00046/1.jpg', 'path': 'full/f076f57b17b322f58e5bb731885b7c0e95034e23.jpg', 'checksum': '0e474465373c64a8eab9a271d0c0a00d', 'status': 'downloaded'}]"
Gold Kundan Dual Pearl Earring Necklace Set,2000.00,https://img.faballey.com/Images/Product/ZNS00052/1.jpg,"[{'url': 'https://img.faballey.com/Images/Product/ZNS00052/1.jpg', 'path': 'full/57fcf83c470185ea620c9a9f74209f1049230bb5.jpg', 'checksum': '778519c01f481d83b52e750867232312', 'status': 'downloaded'}]"
